YEAR Code,YEAR,AREA Code,AREA,A1101_Total population (Both sexes)[person],A110101_Total population (Male)[person],A110102_Total population (Female)[person],A1304_Ratio of population (under15 years old)[%],A1305_Ratio of population (15-64 years old)[%],A1306_Ratio of population (65 years old and over)[%],A4200_Number of deaths[person],A420001_Number of deaths (Male)[person],A420002_Number of deaths (Female)[person]
2006100000,2006,27000,Osaka-fu,"8,828,000","4,281,000","4,547,000",13.8,66.6,19.6,"69,007","37,664","31,343"
2006100000,2006,34000,Hiroshima-ken,"2,875,000","1,389,000","1,486,000",13.9,64.4,21.7,"25,722","13,621","12,101"
2006100000,2006,47000,Okinawa-ken,"1,369,000","672,000","697,000",18.4,65.1,16.5,"9,121","4,849","4,272"
2005100000,2005,0,All Japan,"127,767,994","62,348,977","65,419,017",13.7,65.8,20.1,"1,083,796","584,970","498,826"
2005100000,2005,1000,Hokkaido,"5,627,737","2,675,033","2,952,704",12.8,65.7,21.4,"49,982","27,800","22,182"
2005100000,2005,12000,Chiba-ken,"6,056,462","3,029,486","3,026,976",13.5,68.6,17.5,"44,021","24,425","19,596"
2005100000,2005,13000,Tokyo-to,"12,576,601","6,264,895","6,311,706",11.3,69.1,18.3,"93,599","51,265","42,334"
2005100000,2005,26000,Kyoto-fu,"2,647,660","1,272,993","1,374,667",13,66.3,20,"22,134","11,435","10,699"
2005100000,2005,27000,Osaka-fu,"8,817,166","4,280,622","4,536,544",13.7,67.1,18.5,"68,648","37,664","30,984"
2005100000,2005,34000,Hiroshima-ken,"2,876,642","1,390,190","1,486,452",14,64.6,20.9,"25,579","13,702","11,877"
2005100000,2005,47000,Okinawa-ken,"1,361,594","668,502","693,092",18.7,65.2,16.1,"9,021","4,779","4,242"
2004100000,2004,0,All Japan,"127,787,000","62,380,000","65,407,000",***,***,***,"1,028,602","557,097","471,505"
2004100000,2004,1000,Hokkaido,"5,650,000","2,691,000","2,959,000",***,***,***,"47,335","26,372","20,963"
2004100000,2004,12000,Chiba-ken,"6,047,000","3,027,000","3,020,000",***,***,***,"41,641","23,304","18,337"
2004100000,2004,13000,Tokyo-to,"12,482,000","6,218,000","6,265,000",***,***,***,"88,767","48,465","40,302"
2004100000,2004,26000,Kyoto-fu,"2,650,000","1,275,000","1,375,000",***,***,***,"21,129","10,965","10,164"
2004100000,2004,27000,Osaka-fu,"8,825,000","4,290,000","4,536,000",***,***,***,"65,160","35,998","29,162"
2004100000,2004,34000,Hiroshima-ken,"2,879,000","1,391,000","1,488,000",***,***,***,"24,435","13,036","11,399"
2004100000,2004,47000,Okinawa-ken,"1,353,000","665,000","689,000",***,***,***,"8,610","4,735","3,875"
2003100000,2003,0,All Japan,"127,694,000","62,368,000","65,326,000",***,***,***,"1,014,951","551,746","463,205"
2003100000,2003,1000,Hokkaido,"5,663,000","2,700,000","2,963,000",***,***,***,"46,247","25,524","20,723"
2003100000,2003,12000,Chiba-ken,"6,030,000","3,021,000","3,009,000",***,***,***,"40,579","22,783","17,796"
2003100000,2003,13000,Tokyo-to,"12,388,000","6,173,000","6,216,000",***,***,***,"87,500","48,128","39,372"
2003100000,2003,26000,Kyoto-fu,"2,650,000","1,276,000","1,374,000",***,***,***,"20,669","10,871","9,798"
2003100000,2003,27000,Osaka-fu,"8,824,000","4,295,000","4,529,000",***,***,***,"64,405","35,742","28,663"
2003100000,2003,34000,Hiroshima-ken,"2,879,000","1,391,000","1,488,000",***,***,***,"24,290","12,993","11,297"
2003100000,2003,47000,Okinawa-ken,"1,345,000","661,000","684,000",***,***,***,"8,433","4,561","3,872"
2002100000,2002,0,All Japan,"127,486,000","62,295,000","65,190,000",***,***,***,"982,379","535,305","447,074"
2002100000,2002,1000,Hokkaido,"5,672,000","2,708,000","2,964,000",***,***,***,"44,328","24,941","19,387"
2002100000,2002,12000,Chiba-ken,"5,998,000","3,008,000","2,990,000",***,***,***,"39,748","22,071","17,677"
2002100000,2002,13000,Tokyo-to,"12,271,000","6,116,000","6,155,000",***,***,***,"85,162","46,936","38,226"
2002100000,2002,26000,Kyoto-fu,"2,648,000","1,276,000","1,372,000",***,***,***,"20,320","10,767","9,553"
2002100000,2002,27000,Osaka-fu,"8,821,000","4,299,000","4,522,000",***,***,***,"62,099","34,444","27,655"
2002100000,2002,34000,Hiroshima-ken,"2,878,000","1,391,000","1,487,000",***,***,***,"23,468","12,758","10,710"
2002100000,2002,47000,Okinawa-ken,"1,336,000","657,000","679,000",***,***,***,"8,037","4,338","3,699"
2001100000,2001,0,All Japan,"127,316,000","62,265,000","65,051,000",***,***,***,"970,331","528,768","441,563"
2001100000,2001,1000,Hokkaido,"5,680,000","2,715,000","2,966,000",***,***,***,"43,642","24,506","19,136"
2001100000,2001,12000,Chiba-ken,"5,970,000","2,997,000","2,973,000",***,***,***,"37,810","20,983","16,827"
2001100000,2001,13000,Tokyo-to,"12,165,000","6,066,000","6,098,000",***,***,***,"84,586","46,661","37,925"
2001100000,2001,26000,Kyoto-fu,"2,649,000","1,279,000","1,370,000",***,***,***,"20,028","10,544","9,484"
2001100000,2001,27000,Osaka-fu,"8,821,000","4,305,000","4,515,000",***,***,***,"61,708","34,343","27,365"
2001100000,2001,34000,Hiroshima-ken,"2,880,000","1,392,000","1,487,000",***,***,***,"23,431","12,707","10,724"
2001100000,2001,47000,Okinawa-ken,"1,327,000","652,000","675,000",***,***,***,"8,132","4,335","3,797"
2000100000,2000,0,All Japan,"126,925,843","62,110,764","64,815,079",***,***,***,"961,653","525,903","435,750"
2000100000,2000,1000,Hokkaido,"5,683,062","2,719,389","2,963,673",***,***,***,"43,407","24,528","18,879"
2000100000,2000,12000,Chiba-ken,"5,926,285","2,976,984","2,949,301",***,***,***,"37,238","20,846","16,392"
2000100000,2000,13000,Tokyo-to,"12,064,101","6,028,562","6,035,539",***,***,***,"83,849","46,409","37,440"
2000100000,2000,26000,Kyoto-fu,"2,644,391","1,278,142","1,366,249",***,***,***,"20,233","10,721","9,512"
2000100000,2000,27000,Osaka-fu,"8,805,081","4,304,059","4,501,022",***,***,***,"61,315","34,139","27,176"
2000100000,2000,34000,Hiroshima-ken,"2,878,915","1,392,496","1,486,419",***,***,***,"23,188","12,692","10,496"
